Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
143,"Ali Etezadkhah ""Ali""",1.0,"I have an old SanDisk SD card that still works. I thought their new cards would be just as reliable, but I was wrong.The microsd card failed yesterday inside my phone. I used the adapter to connect it to my computer, but it wouldn't mount.I bought this directly from Amazon and not a third party vendor, so I know it's genuine SanDisk.",2013-06-22,534,0,0,0,0,0.0,0.0
150,A. Liu,2.0,Used it in my Galaxy Note 2 for the past 16 months. All the sudden it is no longer writable. I tried many ways to reformat the card. Even Windows says format successful but all files remain after I remove and re-insert the card. Since I have private files in the card I'm not able to delete. I do not want to sent it back to SanDisk for replacement.,2014-02-05,306,0,0,0,0,0.0,0.0
163,Alton L Spencer,3.0,"Worked great in my galaxy s4--until it didn't work at all for some unknown reason. Used it for about 4 months before it crapped out. BACK UP YOUR DATA WITH ALL THESE THINGS, THOUGH....",2014-05-27,195,0,0,0,0,0.0,0.0
174,A. Marte,1.0,"I bought this on August of 2013.  As of April 2014 the card stopped functioning.  It can still be read, but the writing capability is gone.  That's less than one year.  I'm extremely disappointed in the longevity of this card.  My usage of it has been on my Galaxy S4.  I have about 40Gb of data in it.  Guess I'm going to have to look for another card that has a longer lifespan than this one.",2014-06-25,166,1,0,1,1,1.0,0.2065493143772374
177,"Amazon Customer ""Christian""",1.0,"I routinely use SDXC cards up to 128GB, and this card was unreadable on arrival.  Both of my PCs said it needed to be formatted, and as a last resort I let one of them try (Windows 7/i7with up-to-date SDXC drivers), and it could not format it.  It's on its way back to Amazon.  I'm glad their returns are so easy!",2013-05-22,565,0,0,0,0,0.0,0.0
181,"Amazon Customer ""fiction buff""",2.0,So this product is a large disappointment...bought it to use in my tablet but the card is forever getting corrupted....I've reformatted the card a few times but it's to the point now that even a reformat doesn't work..  Wasted money...don't recommend purchasing.,2012-02-10,1032,0,0,0,0,0.0,0.0
210,Amazon Customer,1.0,"Had to return this item, it would not fit properly into the adapter that it came with.  Return was no problem, but I am reluctant to buy another one.",2013-08-17,478,0,0,0,0,0.0,0.0
213,Amazon Customer,1.0,"Having used SanDisk before in my photography, I of course went to them when it was time to outfit my new Samsung Galaxy S3 with an internal microSD card. I spent the extra bucks over comparably ""no name"" Micro SD cards and bought this variant. I took quite a few pictures and even transferred an album from my computer so I coud show it to friends on the go.After less than two months, the SanDisk microSD card started acting up. It was not recognized, stopped, restarted, removed itself, reinstalled itself onto the phone - erratic behavior. Here is where I should have taken it out immediately and tried to recover anything I could before things hit the fan...unfortunately I waited too long and this morning, for no other reason than I turned my phone on, the card shows up as blank. Neither my Windows PC, nor my Mac, can even detect the card and yes, i tried two different adapters, and I tried the SanDisk recovery which ""found no recoverable files"" even though I checked all file type extensions.I've apparently lost all the pictures I had on there. To top it all off, my GF's cheap ""no name"" card has never had an issue in her exact same phone and keeps chugging along merrily.Paying a premium for a substandard product that fails in use after two months? No thanks. I'm going back to Lexar, which hasn't failed me yet. I'm also getting rid of all my SanDisk cards for my DSLR's, just in case. The fact that SanDisk is the first card thats ever failed on me, and a new card to boot, does not inspire confidence. Buy and use at your own risk.",2013-02-19,657,0,0,0,0,0.0,0.0
214,Amazon Customer,1.0,"I am very disappointed in this card.  I usually don't have an issue with SanDisk, but this 32GB ultra card died after two months.  Died as in, no longer recognizable by PC / Camera or any device.  Now I have to wrestle with warranty claim.",2013-10-09,425,0,0,0,0,0.0,0.0
216,Amazon Customer,1.0,"I bought this card for my android based phone, soon I started getting messages that my card had been removed and or it was damaged, Tried it in my tablet same thing, and this was not the first card of this brand that I had bought that experienced this problem. Went to several online forums to see what the solution is; then someone hit upon it, it just might be a problem with this brand of cards.I bought a PNY brand micro SD card and had no problem whatsoever.",2013-09-06,458,0,0,0,0,0.0,0.0
217,Amazon Customer,1.0,"I bought this card on the strength of the 64GB XDSC SanDisk in my phone right now.  It was a gift for a friend of mine and sadly it corrupted within minutes of first use.Initially it worked fine, then dead.  We checked in a laptop and Windows Disk Management screen told me it had a single 128K partition and the rest was unusable.  Outstanding.The replacement sent by Amazon (Thank you Amazon, you are always excellent) is sitting in my office right now, I should probably check it out.",2012-12-25,713,0,0,0,0,0.0,0.0
251,Amazon Customer,3.0,"I will keep it short and sweet for potential buyers looking for facts and not b.s.I own two of the 32gb size of these cards for about 3 months now. They do work fairly well with cell phones and tablets, yet not so good with cameras, in fact these cards failed to work with my GoPro Hero3 camera and the customer service rep from Gopro claimed (and I happen to agree with him) that this card is not a true class 10 card let alone UHS-1.Benchmarks with my evo 4g with all allocation sizes the write speed never passed beyond 8mb/s while read speeds wondered around 25mb/s far below advertised speeds, well write speeds arent technically advertised (probably because they are of class 4 level)Benchmarks with crystal mark reported speeds even lower (due to adapter) with write speeds around 6mb/s while read speeds wondered around 20mb/s.Needless to say, if you are not worried about speeds and only about storage, these are perfect. If you want to use them for shooting high definition raw footage however, I suggest you not to loose your money on this, because even if your write speeds are around 10mb/s as the card begins to decay it will slow down to become useless.Again this review is based on GoPro camera and high definition raw recording.. For cell phones or for storage it works perfectly well with a bit of false advertisement..",2013-07-02,524,0,0,0,0,0.0,0.0
266,Amazon Customer,3.0,"The package arrived on time, it's very well packed and it's got an adapter. It works perfectly with my phone, though it doesn't allow a computer format, once it's been on the phone, so it asks you to erase everything before you use it on a computer. So if you're planning on buying this for different purposes and devices, gotta be aware of this. I just need for my phone, so I transfer files with my usb cable, that works just right. I also give it a 3 star because it says there are 64gb, but even when it's totally formatted it only reaches to 60gb..sooo, I don't know where my other 4 gb are...anyways, overall it's working well. I do think it's expensive for what it is.",2013-05-08,579,0,0,0,0,0.0,0.0
288,Amazon Customer,1.0,Worked fine in my Samsung S4 for one year.  Then it stopped allowing writing to the card.  Would not format even on a PC or with another device.  The data is still there but cannot be erased.,2014-02-07,304,0,0,0,0,0.0,0.0
294,Amazon Customer,3.0,"Does what it says. Hasn't broken yet, and I hope it doesn't break. I've had luck with this brand before. Usually get bored with the product before it breaks.",2013-02-08,668,0,1,1,-1,0.0,0.0
295,Amazon Customer,1.0,"My card got so hot it almost melted. Crazy! But you card somewhere else, I know I Wii! I'm not taking the chance of ruining one of my devices. No thanks",2013-02-25,651,0,2,2,-2,0.0,0.0
296,Amazon Customer,2.0,"Thus microSD card worked fine for a year in my Samsumg Note II. I mostly used it to listed to downloaded music from Spotify. It has actually failed &#34;twice&#34;. When it failed the first time (the phone couldn't &#34;see&#34; that I had a card installed) I thought maybe something had merely corrupted it, so I formatted it, put it back in my phone, and re-downloaded all my playlists. It worked for two months and then failed again. I don't plan to try formatting it again, I'll switch to a different brand of card.",2014-04-28,224,0,3,3,-3,0.0,4.8683609171202235e-17
307,Amazon Customer,1.0,"Received one - didn't work. Not readable on my Mac or my Win 7 PC. Tried another - retail packaging and is raw format and although my Galaxy S3 sees it, it won't write or format and the computers don't pick it up either.Taking the other person's 1 star review and trying a class 6. Can't afford to lose data, not that I can write to these anyway. Both went back.",2012-11-27,741,1,1,2,0,0.5,0.0945312057342307
317,"Amazon Customer ""Kelly""",1.0,"If your card gets hot enough to be painful, it is defective and you need to contact SanDisk!From my experience, the larger micro SDs run hot on format and writing, but not to the pain threshold!I purchased one of these cards to use in a camera and Android tablet.  Great read speed but write speed was okay.  Used card for about two weeks and then all my files disappeared!  Tried to format the card and three different computers with XP, Windows, and Linux couldn't format it.  The camera and tablet couldn't format it.  I RMA'd it and got another because SanDisk is a good brand.  I did notice that when formatting or writing the card it got hot, very hot.Second card didn't last 24 hours and had the exact same symptoms as the first card.  Write a file or format it resulted in the card getting hot enough to reach the pain threshold.  I called up SanDisk and while explaining this was the second card I'd received with the exact same symptoms, when I mentioned it getting hot, they immediately issued me an RMA.  They said they were told to issue an RMA the moment they heard a card ran hot.Smaller SanDisk micro SD's or regular SD's I have or use don't do this.  I think SanDisk has an issue with this card.The last 4 digits of the part number refer to the date code and origin of the card.  Both cards had different date and origin codes.",2012-02-09,1033,422,73,495,349,0.8525252525252526,0.8185766620453593
319,"Amazon Customer ""Laram""",1.0,"Does not work.  I have a card purchased at Best Buy that looks identical side by side.  BUT!  Transferring music onto the Best Buy purchased card was extremely fast.  100+ meg albums transferred in 2 to 3 seconds.  On these cards, a 61 meg album was at 18 minutes remaining with less than a quarter of the album transferred.  I bought two, so I figured maybe a bad card.  Tried the other, same thing.  Extremely slow.  Wonder if they are even real.",2013-11-12,391,0,0,0,0,0.0,0.0
326,"Amazon Customer ""Music Fan""",3.0,"I think this is probably a fine product, but it wasn't compatible with my Samsung Galaxy S3 phone. Formatted as exFAT (as it came from the factory), didn't work at all, but that's a known problem with the GS3. But even after reformatting to FAT32, the card caused my phone to reboot multiple times.",2013-07-26,500,1,0,1,1,1.0,0.2065493143772374
332,"Amazon Customer ""PawsitivelySafe""",3.0,I have two of these and use them for my Galazy Note 2. It's great having the flexibility to keep extra storage with you for your 'phablet'.So far they have done what they are intended to do.,2013-12-16,357,0,0,0,0,0.0,0.0
353,Amazon Don,1.0,"Card is Good. I ordered one before and it performs as one would expect, so I ordered another. It took much longer to attempt get the second one so I wrote and got a refund. Seller, NMicro Technology,  was not the same as the first.",2013-09-12,452,0,0,0,0,0.0,0.0
355,Amazon Fan,3.0,"I join the long list of customers who have had their SanDisk die on them.  Customer service from SanDisk has been helpful.  They pay for UPS shipping for the return and promise a 7-10 day turn around once the defective disk has been returned.  Still it's a pain to deal with and I lost some photographs.UPDATE: SanDisk sent me a replacement and it seems to be working.  If the replacement goes bad, I'll be back to complain:)SECOND UPDATE: All is well with the replacement so I'm giving it three stars.",2013-04-02,615,1,1,2,0,0.5,0.0945312057342307
357,AMAZON,1.0,"the unit shows 0 bytes, in a PC or the phone. it keeps dismounting also. I got a replacement and it did the same thing. Not sure what is going on but it looks like a Chinese counterfeit case. I have seen this happen more and more lately. Amazon seems to be a major portal for these hings, it makes sense with a such a large retailer, they cant check everything.",2013-10-12,422,0,0,0,0,0.0,0.0
358,Amazon Shopper,3.0,"I do not get the advertised speed of 30MB/s, more like a 200-300KB/s on my Galaxy S4. At least it gives me a lot of extra storage space, for a phone it works nicely if you don't need to transfer big files.",2014-03-14,269,0,1,1,-1,0.0,0.0
362,"Amer Syed ""Devil may cry""",1.0,"had it in my samsung tablet and it went bad after 2 months, wont let me reformat or read it or do anything with it. money down the drain.",2014-05-03,219,0,0,0,0,0.0,0.0
371,anatoliy,1.0,"I got the micro sdcard 64gig, I reformated to fat32 and works very well on my galaxy s2 i9100 with no problems at all, thanks:DEDIT: After 7 months of using this memory card, now i tried to format it but it wouldn't, i tried about 5 different methods and none of them worked, i wouldn't recommend buying this one: SanDisk Ultra 64GB MicroSDXC Class 10 UHS Memory Card Speed Up To 30MB/s With Adapter, Frustration-Free Packaging - SDSDQU-064G-AFFP-A. Avoid buying it or you will experience problems in half a year.",2013-12-27,346,0,0,0,0,0.0,0.0
378,Andre Harrison,1.0,"I purhased this thinking I was getting an amazing deal.  The price was right, the product was not.  After a few months I am unable to delete or add files, pics or music to this microsd card.  I am only using 28gb of space on it.  I cannot add anything, nor delete anything, it won't even allow me to format it and start fresh.  I am not happy with this product and extremely disappointed.  I use my phone a lot and store music and pictures on my phone for various purposes.  I would recommend buying another 64gb microsd card.  One that is more reliable.",2013-08-13,482,1,1,2,0,0.5,0.0945312057342307
398,Andrew M. Swiatek,3.0,the micro sd works great as described. but beware that the micro sd adapters are faulty. the micro sd will get stuck in the adapter. you will have to carefully rip apart the adapter to get the micro sd out thus damaging the apapter.,2013-06-29,527,0,0,0,0,0.0,0.0
412,Andy Do,1.0,"Ordered this from Amazon and was expecting it to work perfectly like my other 32GB sandisk (in my galaxy s4). However, I was really disappointed that upon placing it in my note 10.1 2014 edition the card become unrecognizable. I tried reformatting on the computer, on the phone, and yet, no prevail. It could be the firmware or current update of android, but the point is that, if other companies can make a card that works, why not do the same? Maybe I got a bad batch, who knows...I went ahead and ordered the G.Skill microsd card and now it's working perfectly. I'm s",2014-05-03,219,1,2,3,-1,0.3333333333333333,0.0614919447203962
428,anonomous,3.0,"than i expected. I don't know if it would kill any manufacturers to actually have a memory card or stick or device to actually HAVE Available the advertised capacity. Fortunately l learned that the advertised and actual available memory are TWO SEPARATE THINGS before i bought it, always scroll down and read the technical spec of a device or anything before you buy as that way ideally, your actually informed. Let the buyer beware, is more appropriate every day as most things are not exactly as they seem. And if it's food and cheap, it's likely cancer causing and don't feed your body and your car in the same place.",2013-02-03,673,0,2,2,-2,0.0,0.0
462,Aristotle,1.0,"I really want to like these and I do trust SanDisk more than other manufacturers of memory cards. That said, I'm moving on to my 3rd card. Thank you Amazon for having exceptional customer service, or else I'd be very upset.Basically this card will suddenly not allow writing to it anymore. You can't save files to it, you can't delete files from it and you can't event format it. I've tried doing all three in different OS'es and devices with no luck. Doing some reading on the SanDisk forums this seems to be happening a lot with these cards.I'm returning this to Amazon and trying my luck with a different brand to see what happens.",2013-03-01,647,0,1,1,-1,0.0,0.0
470,artdude,1.0,"randomly erases all my data and asks me to format card on my unmodified unrooted sprint Galaxy SIII ,i dont know how scandisk is selling these,i trusted the brand and it didnt work",2013-03-30,618,0,0,0,0,0.0,0.0
482,"A. Shieh ""eff.org""",3.0,"Reliable and inexpensive. However, it's quite slow, far, far slower than the 64GB samsung pro microsdxc. The Samsung works well for interactive use while I would only use this Sandisk card for applications where speed isn't important.",2013-11-30,373,0,0,0,0,0.0,0.0
488,Asone Hawaii,1.0,"I had this for my smart phone and it kept dismounting itself.  I did some research and found out that there are others experiencing the same problem.  So, I returned this and got Transcend instead.  Transcend works fine with no problem.",2013-07-30,496,0,0,0,0,0.0,0.0
490,astraelraen,3.0,"I bought this primarily to use in my Surface Pro. It would randomly dismount itself. I do not know if it was the Surface's fault or the card's fault. Upon doing a little internet searching, I found this to be a common problem with Sandisk cards and the Surface Pro. I used another brand microSDXC and it has worked fine.",2014-01-30,312,0,0,0,0,0.0,0.0
491,A Student,1.0,"This card was used in a phone without a large amount of write stress (which does shorten the life of the card - it was not written to over and over in the phone).The card is now totally unwriteable - on a Mac, a Linux machine, or the phone - writes all ""seem"" to succeed but even low-level reformats don't actually *do* anything - the exact same files are there after every change, untouchable and frozen forever.10 months of use out of a memory card and then a really weird failure like this (neither the Mac, Linux machine, or phone reports any error) is not acceptable quality from SanDisk.",2013-10-11,423,1,0,1,1,1.0,0.2065493143772374
504,A. Vanness,1.0,"I have had this for 8 months, and the SD Card already stopped deleting files and keeping pictures.  I have tried reformatting, and nothing helps.  Not cool.Update - April 2, 2014 - I contacted Sandisk and I am sending the problematic card back for warranty replacement.  I hope this will resolve the issue with the card.  I will keep you updated once the process is complete.",2014-03-31,252,0,1,1,-1,0.0,0.0
512,AW,1.0,This card failed after 2 weeks of use.  I have the same problem with their SSD failed on me after 6 months.,2014-07-01,160,0,0,0,0,0.0,0.0
535,Barye Phillips,2.0,"Hard to review this as the card arrived DOA. Couldn't write to it at all, and it wouldn't format. I returned it and Amazon was great about the credit. I've owned several SanDisk memory cards and they have all performed well and I was a little surprised that this one failed out of the box. I'd read a good review of the Samsung 64GB micro card and I bought that instead. Very pleased with it.",2014-03-07,276,1,0,1,1,1.0,0.2065493143772374
537,baseballguy7,2.0,Stopped working and could not reformat.  Didn't have good luck with this item or the vendor selling this item.  Hopefully just a bad one...sandisk is usually pretty good,2012-10-10,789,0,0,0,0,0.0,0.0
538,B. Augustine,2.0,I loaded this memory card into my TF700T and could not get it to install. I found it to be a format issue and could not reformat it to get it to work. I sent it back and got the class 10 sandisc card ( non ultra ) and it loaded perfactly.,2012-08-31,829,0,0,0,0,0.0,0.0
569,Ben,1.0,"Ive had the card for over a month, using it in my Samsung Galaxy Note 10.1.I filled the card with a few TV shows and movies to watch on the go, as well as many PDFs and MS Word Docs.The MS Word and PDF files often get corrupted after use. THe larger files seem to stay intact. I moved the smaller files into the internal storage and havent had problem since.Im hoping Sandisk has a decent return policy.",2013-07-04,522,0,0,0,0,0.0,0.0
581,Ben M,3.0,"I bought this for my new samsung galaxy s 4, and the first one I ordered produced formatting issues on my phone every time I rebooted. I looked online and found a number of these got recalled (or something) at one point, and some didn't but just don't work.I returned it for a replacement and the replacement has worked fine in my phone with constant use. I'm on month 4 with no issues.",2013-07-18,508,0,0,0,0,0.0,0.0
583,Benoit,1.0,"No way to format it. I even downloaded 2 programs that claimed were able to format it, After wasting about 6 hours, I decided to give up and send it back, The seller should format them before sending them, even if they would charge $5. extra, it would be well worth it instead of the hassle of downloading programs and wasting time trying and sending it back after hours of frustration.",2014-04-22,230,0,1,1,-1,0.0,0.0
593,bgcam,1.0,I was better off with my 32gig card.  This thing was nothing but problems.  The phone does not see it half the time and it is SLOW.  The phone keeps asking to Re- format it.  I got it to see the card after a reboot.  It is still SLOW.I will be buying the Samsung 64gig card for my Samsung Galaxy Note 1.  I have seen good things from Samsung.,2013-04-24,593,0,0,0,0,0.0,0.0
595,B. HILL,3.0,Worked for awhile and then android would blow chunks (unexpectedly removed).  Windows sometimes could not read them and just blew up explorer.  Formated FAT32 .... ect ect ect over and over.  I'm done with SanDisk.  I think the problem is the CLASS 10 part of these cards.  All other cards I have work fine and they are less than class 10.  Maybe this was a bad batch because my replacement card a few days later (from Amazon) did the same thing again.EDIT: Decided to pick up the card that was laying on my counter for the last 3 months and give things another try.  Still does not work in HTC Evo LTE or EVO 3D.  Finally got it working in Galaxy S3.  Still very frustrating.,2012-12-12,726,1,1,2,0,0.5,0.0945312057342307
615,"Bill MSN ""Rabbit Ears""",1.0,"Bought 2 of these for the wife's & my Android phone. When her's failed after 2 months, we figured it was just luck of the draw. Now mine failed after just over 4 months, losing a bunch of photos & videos (I made sure to back up every few weeks but even so, we just lost a bunch of photos of our 2 month newborn).Clearly SanDisk had a bad batch with this lot and as the return policy is horrible, I won't be buying any more SanDisk, no matter how cheap (when we bought them on sale around January 2013 they were over half the price of similar SD cards; again, SanDisk clearly knew they had a bad batch, shame on them for dumping them on the customer, no matter how cheap).While I would presumed they would have solved the problem in production, buy at your own risk, SanDisk will sell product with ridiculous failure rate.EDIT: After submitting my review I did some more research on other sites and the low star reviews here. SanDisk is so clearly guilty of selling a defective product from the batch about 6 months ago. Which as I said before, is when they put them on a super discount sale. They knew what they were doing and they are thumbing their nose at customers who just fell outside warrantee (like myself).To knowingly sell your customer something that is going to fail at an unacceptable rate and then ignore them because it failed a little bit outside warrantee is just bad faith. I beg people considering buying this product to not do so, and thumb up the reviews warning of failures. It is only when companies lose sales do they reconsider not screwing their customers like this.Personally I have bought several SanDisk thumb drives, CompactFlash cards, and a Sandisk MP3 player. The thumb drives were ok but I wouldn't buy another mp3 player from them (it was buggy as hell). Up until now I had an overall neutral to favorable opinion of them, not anymore.If you think I am overreacting, please just skim through a few pages submitted in springtime of 2013. There is at least one or more ""6 months and it failed"" reviews per page.",2013-05-15,572,0,0,0,0,0.0,0.0
623,birkato,2.0,"The product is OK, but my card does not acheive the rated write speed of 10 MB/sec.  Most applications probably don't need to hit 10 MB/sec, but my GoPro Hero 3 does need the full bandwidth and thus would bomb on me sometimes.  As tested, my card got between 8-10 MB/sec using the larger block sizes.  I complained to Sandisk about it and they allowed me to send it in for a replacement which I did (and took almost 2 weeks), but the replacement behaved the same way.  I would say this card is OK for most applications, but if you need top end speed, I would go with another card.  I bought my card in May 2013 and had it replaced in August 2013 so hopefully they have fixed this problem by now.",2013-08-12,483,0,0,0,0,0.0,0.0
626,BK,1.0,"Losing pictures, video, and tunes after 9 months on a Samsung Galaxy Note 2 (stock android).  Looks like this is a common problem.  I will try my luck with Sandisk on Monday.  If I don't get a replacement, I will never buy a Sandisk product again.  I paid the premium for ""Sandisk Quality.""  I am very disappointed.UPDATE:Sandisk will be providing a replacement SD CARD.  However, my data loss and downtime cannot be replaced.  SanDisk lost their ""premium rating"" in my eyes. It's going to take a while for them to get it back.",2013-10-11,423,1,0,1,1,1.0,0.2065493143772374
638,BL,2.0,"I haven't done any formal benchmarks, but the device seems pretty slow. I haven't seen any real performance boost vs. my old card even on bulk file copies. I have another 8GB samsung card that may be a knockoff that performs noticeably better than this card.I'm using it anyway. I don't really have the time to return it or anything.",2014-02-28,283,0,0,0,0,0.0,0.0
651,bobgene,2.0,I have nothing to use this device with. I ordered by mistake. I'm sure it's a great product but not for me.,2014-09-01,98,0,0,0,0,0.0,0.0
653,Bob,2.0,I could not get this brand of memory card to work in my Roku.  It would not format correctly.  I had to return this for another brand which worked ok.,2014-01-22,320,0,0,0,0,0.0,0.0
664,boh521,3.0,"I purchased this Micro SD card to add storage to my Acer tablet. Unfortunately the tablet did not recognize the device. After uninstalling the card several times I decided to use it in my Samsung phone and it works fine there.If you are going to buy this product for a tablet, I recommend you do you research and make sure it's compatible.",2013-03-01,647,0,0,0,0,0.0,0.0
668,Bond,1.0,Used for two months in Samsung Galaxy.  Fizzled then failed.  I have never experienced a memory card or or flash drive failure until this SanDisk Ultra 32 GB.  Will purchase a different brand next time.  Return for refund or replacement is not allowed.,2013-06-02,554,0,1,1,-1,0.0,0.0
